number of people:1
point1.x,point1.y,  point3.x,point3.y,  point4.x,point4.y,  point5.x,point5.y,  point6.x,point6.y,  point8.x,point8.y,  point9.x,point9.y,  point10.x,point10.y,  point12.x,point12.y,  point13.x,point13.y,  point14.x,point14.y,  point16.x,point16.y,  point17.x,point17.y,  point18.x,point18.y,  point20.x,point20.y,  
259,244,244,113,188,208,137,279,72,227,304,204,349,284,399,231,244,333,328,438,469,598,295,326,346,372,493,492,251,185,
259,244,245,114,188,208,137,279,72,227,305,205,349,284,399,237,244,333,329,437,470,594,296,326,346,372,493,492,252,185,
259,244,245,114,188,208,136,277,71,226,306,205,349,284,399,237,244,333,329,437,470,592,296,326,346,372,491,492,252,185,
259,244,244,115,188,208,131,273,70,218,306,206,351,284,402,236,244,333,286,419,350,551,296,326,345,371,489,492,252,185,
259,244,244,115,187,209,124,263,70,202,306,206,357,276,403,221,244,333,242,401,230,511,296,326,345,371,487,492,251,185,
259,244,243,116,187,209,121,254,74,183,306,206,365,266,403,198,244,333,198,382,111,469,296,325,344,370,486,491,251,186,
259,244,243,116,186,210,119,244,84,164,306,206,372,252,397,172,244,333,197,380,110,465,296,325,344,370,485,489,251,186,
259,244,243,117,186,210,117,238,94,153,307,206,375,239,387,158,244,332,197,378,110,460,296,325,343,369,482,488,251,186,
258,244,243,117,185,210,113,227,104,143,307,206,377,229,373,149,243,332,197,377,109,457,295,325,342,368,478,488,251,186,
258,244,244,117,185,209,109,217,112,138,307,206,378,220,364,145,243,332,196,376,107,455,295,324,341,368,475,488,251,186,
258,244,245,118,185,209,105,208,118,132,307,206,378,214,354,139,243,331,195,375,105,454,295,324,340,368,472,489,250,186,
258,243,247,118,185,209,105,206,121,130,306,206,378,208,350,136,243,331,195,374,104,453,295,324,339,368,470,491,250,186,
258,243,248,118,185,209,105,205,121,130,306,206,378,206,349,134,243,331,195,374,102,453,295,323,338,368,470,492,250,186,
258,243,248,118,185,209,106,205,121,130,306,206,378,206,349,134,243,331,194,374,101,453,295,323,338,368,469,493,250,186,
258,243,247,118,185,209,108,215,115,137,306,206,378,213,360,140,243,331,194,374,100,453,295,323,338,368,469,494,250,186,
258,243,246,118,185,209,113,230,106,151,306,206,376,225,372,149,243,331,194,374,99,454,295,323,338,368,470,494,250,186,
258,243,244,118,186,209,125,253,92,182,306,206,365,248,388,175,243,331,193,376,98,458,295,324,339,368,472,493,250,186,
258,243,244,118,187,209,136,266,84,207,306,206,354,263,396,202,243,331,193,377,97,462,295,324,339,368,475,493,250,186,
258,243,244,118,188,209,146,278,78,236,306,207,345,278,400,228,243,331,193,379,96,467,295,324,340,368,478,493,250,186,
258,243,244,118,188,209,151,283,76,255,306,207,343,282,400,243,243,331,193,380,95,469,295,324,340,368,480,493,250,186,
258,244,244,118,189,209,152,285,73,265,306,207,342,286,400,251,243,331,193,381,95,471,295,324,341,368,480,493,251,187,
258,244,245,118,190,209,150,285,71,265,306,207,342,286,401,251,243,331,193,381,96,471,295,324,341,368,481,493,251,187,
258,244,245,118,190,209,148,282,71,261,306,207,343,286,403,250,243,331,193,381,96,471,296,324,341,368,481,493,251,187,
259,244,246,118,191,209,136,274,68,237,306,207,349,283,407,238,243,331,193,380,96,470,296,324,341,368,481,492,252,187,
259,244,246,118,191,209,127,266,68,215,306,208,358,279,413,221,243,331,193,379,96,467,296,324,341,368,482,491,252,187,
259,244,246,118,190,209,120,254,72,189,307,208,372,267,416,197,243,331,193,377,96,463,296,325,341,368,484,490,252,187,
259,244,246,118,190,209,117,242,76,167,308,208,383,254,416,173,243,331,193,376,95,459,296,325,342,367,484,489,252,187,
259,244,246,118,188,209,114,226,84,145,309,208,392,233,413,145,243,331,193,375,96,456,296,324,342,367,484,489,252,187,
259,243,246,118,187,209,111,211,91,128,310,207,393,217,405,125,243,330,194,373,96,453,295,324,341,367,484,489,252,187,
259,243,246,118,185,208,110,203,99,119,312,206,393,203,397,111,243,330,194,372,97,449,295,323,341,367,482,490,252,186,
259,243,246,118,185,207,111,200,103,116,313,205,393,199,393,106,243,329,195,370,99,446,295,323,340,367,479,493,252,186,
259,243,246,118,185,207,111,200,103,116,314,204,393,199,393,106,243,329,195,369,101,445,295,323,340,367,477,495,253,186,
259,243,246,118,185,207,113,203,101,119,314,204,392,201,393,107,243,329,196,369,102,444,295,323,339,368,474,498,253,186,
259,243,246,118,185,207,113,206,97,123,314,204,392,205,394,112,243,329,196,369,102,444,295,323,338,368,473,498,253,186,
259,243,246,118,185,208,115,215,93,134,313,205,391,211,397,120,243,329,196,369,103,445,295,323,338,368,473,498,253,186,
259,243,246,118,185,208,116,224,90,144,312,205,391,218,400,129,243,329,196,371,103,448,295,323,338,368,473,497,253,186,
259,243,246,118,186,209,116,232,88,154,311,206,390,225,402,137,243,330,196,372,103,452,296,323,339,368,475,496,253,186,
259,243,246,118,186,209,118,236,85,161,311,206,387,236,403,151,243,330,196,373,102,455,296,323,339,368,476,495,253,186,
259,243,246,118,187,209,121,244,84,173,310,206,384,246,404,164,243,330,195,374,100,456,296,324,340,368,477,494,253,186,
259,243,246,118,187,209,125,253,83,187,309,206,377,261,404,181,243,330,194,375,98,458,296,324,340,368,477,494,253,186,
259,243,246,118,189,209,135,265,83,208,309,206,366,273,401,201,243,331,194,377,96,462,296,324,340,368,477,494,253,186,
259,243,245,118,190,209,144,274,83,227,309,206,354,283,398,222,243,331,192,379,91,466,296,324,339,368,475,496,253,186,
259,244,245,118,192,209,152,281,83,242,308,206,347,287,394,238,243,331,189,381,86,470,296,325,338,368,473,498,253,186,
260,244,245,117,192,209,152,283,83,247,308,206,346,288,391,244,243,331,187,382,80,472,296,325,337,369,467,502,253,186,
260,244,245,117,192,209,152,283,83,247,308,206,345,288,390,247,243,331,186,382,78,473,296,325,335,369,462,505,253,186,
